Name,Workstream,What it is,Action URL,Action URL Live,Cost,Self-service level,How to submit,Effort/time,Audience / reach,Geography,Best for,Cadence fit,Notes / gotchas,Source URL,Date verified
EntryThingy (free call listing),Open-Call Listing,"Submission-management platform that ALSO offers a free path to list a call created elsewhere, linking to your own submission page.",https://app.entrythingy.com/artist/calls/addition/,yes,Free (for the listing-only path),Approval/review,"Open the 'Add a Call for Entry' form → enter title, organization, email, description, deadline, start date and the 'Link to your Call for Entry Page' (your external URL) → submit for review → publishes to their call lists.",Low,Artists browsing EntryThingy's aggregated call lists,US / Global,"open call, exhibition",one-off post,Use ONLY the 'add a call already created elsewhere' form — it links to YOUR submission page and is free. Do NOT buy their paid jurying system since you have your own platform.,"[EntryThingy — Submit a Call](https://app.entrythingy.com/artist/calls/addition/), [Pricing](https://www.entrythingy.com/pricing)",2026-06-18
Fractured Atlas Artist Opportunity Database,Partner Org/Council,"A searchable database of artist grants, funders, awards, and open calls curated by Fractured Atlas.",https://fracturedatlas.notion.site/14b23f9f3dc880289f29d38d63204aaf,yes,Free,Manual review/approval,"Submit your opportunity via their intake form; staff manually reviews and adds it to the public Notion opportunity database, linking to your page.",Low,Largest association of artists in the U.S. (reaches tens of thousands of US-based artists across all disciplines),Global,"open call, grant, exhibition, donor",one-off post,Submissions are reviewed before being added to the database; recommends submitting at least 8 weeks before the deadline.,"[Fractured Atlas Blog](https://blog.fracturedatlas.org/introducing-the-artist-opportunity-database), [Submission Form](https://fracturedatlas.notion.site/14b23f9f3dc880289f29d38d63204aaf)",2026-06-12
Givebutter,Fundraising/Grants/Donor,"All-in-one fundraising platform for nonprofits to create campaigns, collect donations, and manage donors.",https://givebutter.com/signup,yes,Free (0% platform fee with donor tips enabled; 3% platform fee if tips disabled) plus standard processing fees (2.9% + $0.30) (Givebutter Pricing),Account required,,Low,"10,000,000+ changemakers (donors and organizers) (Givebutter)",US national,"donor, open call, exhibition, grant, press",always-on,Standard processing fees apply; platform fee is $0 only if donor tips are enabled. Advanced features available via 'Plus' paid plans starting at $29/mo (Givebutter Pricing).,"[Givebutter Signup](https://givebutter.com/signup), [Givebutter Pricing](https://givebutter.com/pricing)",2026-06-12
GoFundMe,Fundraising/Grants/Donor,A global crowdfunding platform that allows individuals and nonprofits to raise money for various causes.,https://www.gofundme.com/create/fundraiser/template/search/draft,yes,Free to start; 2.2% + $0.30 transaction fee per donation for verified charities (GoFundMe Pricing),Account required,,Low,Over 200 million people (GoFundMe),Global,donor,one-off post,Nonprofits must be verified 501(c)(3) organizations to receive the reduced transaction fee rate; higher volume organizations may use GoFundMe Pro (Classy) (Zeffy),"[GoFundMe Pricing](https://www.gofundme.com/c/pricing), [GoFundMe for Nonprofits](https://www.gofundme.com/c/charity-fundraising)",2026-06-12
Juxtapoz Art & Culture Magazine,Media/PR Amplifier,"Leading art and culture magazine for contemporary, lowbrow, and street art.",https://www.juxtapoz.com/k2/information/contact-us/,yes,Free,Manual review/approval,,Low,"1.3M+ followers on Instagram (Source), ~65K-250K monthly readers/visits (Similarweb, Media Kit); reaching global art enthusiasts and professionals.",Global,"press, open call, exhibition",one-off post,Submission is via a Jotform on the contact page; select 'Submit Your Work' from the dropdown. Direct email for the CTO is also provided. Magazine lead times are long.,https://www.juxtapoz.com/k2/information/contact-us/,2026-06-12
The Art Guide,Open-Call Listing,"Free online directory of exhibitions, galleries and calls for artists where organizations post their own listings.",https://theartguide.com/register/,yes,Free (paid 'featured'/ad upgrades optional),Account required,Create a free 'Gallery Account' → sign in → in the dashboard click 'Post a new listing' → choose Call for Entries → fill in details and your external submission URL → publishes.,Low,Artists browsing The Art Guide's calls-for-artists directory,US / Global,"open call, exhibition",one-off post,"Galleries, museums, art associations and nonprofits may post Call for Entries at no charge; listing links to your own submission page (no submission lock-in).","[The Art Guide — Register](https://theartguide.com/register/), [Advertise](https://theartguide.com/advertise/)",2026-06-18
The Art List,Open-Call Listing,Database where organizations POST contests/juried shows/exhibitions; artists link through to your own submission URL.,https://www.theartlist.com/register,yes,Free (Basic) / paid upgrades from $50,Account required,Register for a free account → add your call in the dashboard (Basic = free) → enter details + your external submission link. Paid upgrades for featured placement.,Low,"50,000+ members, 25,000+ email subscribers, and 87,000+ social media followers (artists and photographers worldwide)",Global,"open call, exhibition, grant",one-off post,Free basic listing links to your own submission page. Paid upgrades ($50+) for featured placement. No submission lock-in.,"[TheArtList Submission Info](https://www.theartlist.com/submit), [TheArtList Registration](https://www.theartlist.com/register)",2026-06-12
Artist Communities Alliance (ACA),Partner Org/Council,"An international association and directory platform for artist residency programs and arts organizations to list open calls, jobs, and residency opportunities.",https://artistcommunities.org/join,yes,Free (Artist Communities Alliance),Account required,"Join/sign in as an organizational member, then post your open call / residency opportunity to the ACA opportunity board linking to your own page.",Medium,400+ member organizations and programs reaching artists globally (Artist Communities Alliance),Global,"open call, grant",always-on,Membership is free as of January 2025 but required to list in the directory; requires commitment to the network's shared values and affirmations (Artist Communities Alliance).,"https://artistcommunities.org/membership, https://artistcommunities.org/join",2026-06-12
Benevity,Fundraising/Grants/Donor,"A global corporate purpose platform that connects nonprofits with corporate giving, matching, and volunteering programs.",https://causes.benevity.org/causes/user/register,yes,"Free to register; 2.9% average platform fee plus merchant fees (<2.5%) (Benevity FAQs, Fee Schedule)",Account required,,Medium,"2 million+ organizations worldwide with over $10 billion in donations processed (Benevity, Press Release)",Global,"donor, grant, press",always-on,"Registration requires vetting and documentation (e.g., IRS Determination Letter). Manual check fees apply in North America (greater of $25/7% up to $100); electronic funds transfer is strongly recommended to avoid these (Benevity FAQ).","[Benevity Nonprofits](https://benevity.com/nonprofits), [Benevity Registration Page](https://causes.benevity.org/causes/user/register), [Benevity Fee Schedule](https://go.benevity.com/hubfs/website/en/Benevity-Fees-Schedule.pdf)",2026-06-12
California Arts Council,Fundraising/Grants/Donor,State arts agency providing grant funding to California-based arts organizations and individual artists (California Arts Council).,https://calartscouncil.smartsimple.com/,yes,Free,Account required,,Medium,"California arts community (approx. 39M residents, reaching artists and nonprofits statewide) (California Arts Council)",US region/state (California),grant,recurring roundup,"Requires 501(c)(3) status or fiscal sponsor, a principal place of business in California, and a minimum two-year history of arts programming (California Arts Council FAQ).","https://arts.ca.gov/grants/faq/, https://calartscouncil.smartsimple.com/",2026-06-12
Connectively (formerly HARO),Media/PR Amplifier,A platform that connects subject matter experts (sources) with journalists and publishers seeking quotes and insights for their articles.,https://www.connectively.us/sign-up?view=expert,yes,Free ($0 for 3 answers/mo) | Lite $11/mo (billed yearly) | Pro $29/mo (billed yearly) | Business $59/mo (billed yearly) | $6.99 per extra credit,Account required,,Medium,"Reach to millions via 1,000+ top publishers (e.g., Fast Company, Fortune, CNET) with 50,000+ experts enrolled.",US national / Global,press,always-on,Formerly known as Help A Reporter Out (HARO). The free tier is limited to 3 answers per month; additional submissions require a paid subscription or individual credits. Requires setting up a profile and monitoring keyword alerts.,https://www.connectively.us/expert,2026-06-12
Creative Capital,Fundraising/Grants/Donor,"National nonprofit supporting individual artists through grants, professional development, and a curated list of artist opportunities.",mailto:connect@creative-capital.org,yes,"Free (sponsored listing included with $5,000/yr membership, or via manual email contact)",Email/pitch required,,Medium,"250,000+ artists (per site)",US national,"open call, exhibition, grant, press",one-off post,"Submissions for 'Artist Opportunities' are community-driven but require manual email contact or are provided as a benefit of the $5,000/yr Institutional Membership. There is no public-facing instant submission web form.","https://creative-capital.org/artist-resources/artist-opportunities/, https://creative-capital.org/artist-lab-membership/",2026-06-12
Donorbox,Fundraising/Grants/Donor,"An online fundraising platform that allows nonprofits to create customizable donation forms, crowdfunding campaigns, and peer-to-peer pages (Donorbox).",https://donorbox.org/signup/orgs/new,yes,Free (plus 2.95%-3.95% platform fees) (Donorbox Pricing),Account required,,Medium,"100,000+ nonprofits worldwide; reaches a global donor base (Donorbox Pricing)",Global,donor,always-on,Standard plan has no monthly fee but charges platform fees (2.95% - 3.95%); donors can often opt to cover these fees (Donorbox Pricing).,"[Donorbox Pricing](https://donorbox.org/pricing), [Donorbox Signup](https://donorbox.org/signup/orgs/new)",2026-06-12
Every.org,Fundraising/Grants/Donor,"A nonprofit-run fundraising platform that provides free tools for nonprofits to accept donations (cash, stocks, DAFs, crypto) and a discovery network for donors.",https://www.every.org/nonprofits/get-started,yes,Free (0% platform fees; processing fees apply for card/crypto) (Every.org),Manual review/approval,,Medium,"8,500+ nonprofits and their donor base (Every.org)",US national (Every.org),donor,always-on,Requires 501(c)(3) status or fiscal sponsor; admin access approval typically takes ~2 business days (Every.org Support).,"[Every.org Get Started](https://www.every.org/nonprofits/get-started), [Every.org Pricing](https://www.every.org/pricing)",2026-06-12
Fidelity Charitable,Fundraising/Grants/Donor,"The largest donor-advised fund (DAF) sponsor in the US, allowing donors to manage charitable accounts and recommend grants to nonprofits.",https://charitablegift.fidelity.com/public/fc-npo-enrollment/#/dpp,yes,Free,Account required,,Medium,"Nearly 400,000 active donors who recommended $18.3 billion in grants to ~227,000 charities in 2025 (Fidelity Charitable).",US national,donor,always-on,"IRS-qualified 501(c)(3) public charities are typically listed automatically based on IRS data; however, electronic enrollment (EFT) is required to receive grant disbursements and will be mandatory starting July 2026 (GiveChariot).",https://www.fidelitycharitable.org/nonprofits.html,2026-06-12
Foundation Directory (Candid),Fundraising/Grants/Donor,The premier grant prospect research database for identifying foundation and corporate funders.,https://candid.org/pricing/,yes,"Free tier available; Premium starts at $1,199/yr for nonprofits; Free for nonprofits <$1M revenue with Gold Seal (Candid) (Spark the Fire)",Account required,,Medium,"Industry-standard database of 240,000+ grantmakers for nonprofit fundraisers (Candid)","US national, Global","grant, donor",always-on,"Merged with GuideStar into ""Candid search"" in Jan 2026; free access requires Gold Seal of Transparency; significant price hike for larger orgs (GlobeNewswire) (LinkedIn)",[Candid Pricing](https://candid.org/pricing/),2026-06-12
GrantWatch,Fundraising/Grants/Donor,"A leading grant listing directory and search engine for nonprofits, businesses, and individuals to find funding opportunities GrantWatch.",https://www.grantwatch.com/add-a-grant.php,yes,Free,Manual review/approval,,Medium,Approx. 2.23M grant recipient profiles and 374k funder profiles; reaches a wide audience of nonprofit and small business subscribers GrantWatch.,US national,grant,one-off post,Submissions are subject to manual verification and approval by the GrantWatch editorial team before being listed GrantWatch. Primarily a database for grant seekers to find funding.,"https://www.grantwatch.com/add-a-grant.php, https://www.grantwatch.com/",2026-06-12
Instrumentl,Fundraising/Grants/Donor,"An institutional fundraising platform that combines grant prospecting, tracking, and management into one tool for nonprofits (Instrumentl).",https://www.instrumentl.com/signup,yes,"Free (14-day trial), then starts at $299/mo (billed annually) or $349/mo (monthly) (Instrumentl)",Account required,,Medium,"15,000+ grant professionals across 5,500+ nonprofits and consultancy firms (Instrumentl)",US national (Instrumentl),"grant, donor",always-on,Requires paid membership after 14-day trial; trial does not require a credit card (Instrumentl).,"[Instrumentl Pricing](https://www.instrumentl.com/pricing), [Instrumentl Signup](https://www.instrumentl.com/signup)",2026-06-12
Mightycause,Fundraising/Grants/Donor,A comprehensive online fundraising and donor management platform for nonprofits (Mightycause).,https://www.mightycause.com/contact/join-mightycause,yes,Free ($0/month subscription) plus transaction fees (~1.99% + $0.30) (Mightycause Pricing),Account required,,Medium,"76,000+ nonprofits and millions of donors nationwide (Mightycause)",US national,"donor, grant",always-on,Requires EIN for nonprofit verification; transaction fees can be covered by donors or the organization (Mightycause Support).,https://www.mightycause.com/contact/join-mightycause,2026-06-12
PayPal Giving Fund,Fundraising/Grants/Donor,A platform that allows 501(c)(3) charities to receive donations from PayPal and its partners like eBay and GoFundMe without transaction fees.,https://www.paypal.com/us/paypal-giving-fund/joinppgf,yes,Free (No fee for enrollment or services; 100% of donations made on PayPal platforms are passed to charities) (PayPal).,Manual review/approval (Submission is reviewed within 3-5 business days) (PayPal).,,"Medium (Requires PayPal Business account, charity status verification, and bank linking) (PayPal).","Millions of potential donors across PayPal, eBay, GoFundMe, and other partner platforms (PayPal).",US national,"donor, grant",always-on,California-based charities must complete an additional enrollment form. Payouts are faster for enrolled charities; non-enrolled charities may wait up to 90 days (PayPal).,"https://www.paypal.com/us/paypal-giving-fund/joinppgf, https://www.paypal.com/us/paypal-giving-fund/policies/nonprofit-user-agreement",2026-06-12
Qwoted,Media/PR Amplifier,A network that connects PR professionals and expert sources (such as nonprofit leaders) with journalists seeking information for stories.,https://app.qwoted.com/users/sign_up,yes,Free (Basic) | $149/mo (Pro) (Qwoted Pricing),Account required,,Medium,"""Tens of thousands of media professionals"" including journalists from the Wall Street Journal, New York Times, and Reuters (Qwoted).",Global,press,always-on,The free Basic plan is limited to 2 pitches per month and includes a 2-hour response delay on media opportunities (Qwoted Pricing). Press release distribution is available through the platform after account creation (Qwoted Help Center).,"https://www.qwoted.com/pricing-2/, https://app.qwoted.com/users/sign_up",2026-06-12
South Arts,Fundraising/Grants/Donor,"A Regional Arts Organization (RAO) that provides funding, advocacy, and resources to the arts sector in the Southeastern United States.",https://southarts.my.site.com/grants/s/,yes,Free,Account required,,Medium,"Arts organizations and artists across Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, and Tennessee.","US region (AL, FL, GA, KY, LA, MS, NC, SC, TN)",grant,always-on,"Requires account creation in Salesforce portal. Requires Unique Entity Identifier (UEI). Specific grants have budget caps (e.g., $500k for Professional Development). Regional restriction to 9 Southeast states. Many grants require a dollar-for-dollar cash match.","[South Arts Professional Development Grants](https://www.southarts.org/grants-opportunities/professional-development-grants-arts-organizations), [South Arts Grant Portal](https://southarts.my.site.com/grants/s/)",2026-06-12
The Art Newspaper,Media/PR Amplifier,"A leading international publication covering news, analysis, and reviews in the art world.",https://www.theartnewspaper.com/information/contact,yes,Free,Email/pitch required,,Medium,"50,000+ readership, including collectors, museum directors, and art professionals (The Art Newspaper)",Global,press,one-off post,No automated web form for submissions; all press releases and news tips must be pitched via email to the editorial team. Listing in the exhibition section typically follows editorial selection or paid advertising (The Art Newspaper).,https://www.theartnewspaper.com/information/contact,2026-06-12
Zeffy,Fundraising/Grants/Donor,A zero-fee fundraising platform for nonprofits that covers all processing fees.,https://www.zeffy.com/en-US/register/method-choice/donation,yes,Free (Zeffy Pricing),Account required,,Medium,"Over 100,000 nonprofits (Zeffy)",US national,donor,always-on,100% free for nonprofits; Zeffy covers all transaction and credit card fees by asking donors for an optional tip (Zeffy).,https://www.zeffy.com/en-US/register/method-choice/donation,2026-06-12
Florida Division of Arts and Culture (formerly Division of Cultural Affairs),Fundraising/Grants/Donor,The state agency responsible for cultural planning and the distribution of state and federal funds for arts and culture in Florida.,https://dosgrants.com/,yes,Free,Account required,,High,"Florida-wide arts and cultural organizations, artists, and public entities. Reach includes thousands of Florida-based nonprofits.",US region/state (Florida),grant,recurring roundup,"Applications must be submitted through the DOS Grants portal. Organizations must be Florida-based nonprofits or public entities in ""active"" status on Sunbiz. Requires a UEI number and a Florida Substitute W-9. Deadlines are typically in early July.","https://dosgrants.com/Program, https://dos.fl.gov/cultural/grants/grant-programs/general-program-support/",2026-06-12
Google Ad Grants (Google for Nonprofits),Paid-Ads Channel,"A program providing nonprofits with up to $10,000 USD per month in in-kind advertising to appear on Google Search results.",https://www.google.com/nonprofits/account/signup,yes,"Free ($10,000/mo in-kind grant)",Account required,,High,Billions of Google Search users (global estimate),US national,"grant, donor, press, open call",always-on,"Requires 501(c)(3) status and verification via Goodstack/TechSoup. Organizations must maintain a 5% click-through rate (CTR) and follow specific policy requirements to keep the grant. Not available for hospitals, schools, or government entities.",https://www.google.com/nonprofits/offerings/google-ad-grants/,2026-06-12
Grants.gov,Fundraising/Grants/Donor,"The official centralized storefront for all federal grant-making agencies, allowing organizations to find and apply for federal funding opportunities.",https://apply07.grants.gov/apply/register.faces?INITIAL_LOAD=true,yes,Free,Account required,,High,"1,900+ active federal grant opportunities from 26 agencies, reaching all eligible US nonprofit organizations.",US national,grant,always-on,"Registration is free but requires an active SAM.gov registration (Unique Entity Identifier/UEI), which can take weeks or months to process and requires annual renewal. SAM.gov registration may also require a notarized letter for the entity administrator.","[Grants.gov Registration](https://www.grants.gov/register), [Grants.gov Eligibility](https://www.grants.gov/learn-grants/grant-eligibility.html), [Search Grants](https://www.grants.gov/search-grants)",2026-06-12
National Endowment for the Arts (NEA),Fundraising/Grants/Donor,Principal grant category (Grants for Arts Projects) providing project-based funding for arts organizations across various disciplines.,https://www.grants.gov/search-results-detail/362192,yes,Free (Requires 1:1 non-federal match),Account required,,High,"US National (approx. 2,000 awards per year, $65M total program funding) reaching communities across all 50 states, DC, and US jurisdictions.",US national,grant,recurring roundup,"Requires 1:1 non-federal cost share (cash or in-kind); requires 5-year history of arts programming; requires minimum $20,000 in operating expenses in the most recent fiscal year; requires registration in SAM.gov and Grants.gov (can take weeks). Two-part application process (Grants.gov then NEA Applicant Portal).","[NEA Grants for Arts Projects](https://www.arts.gov/grants/grants-for-arts-projects), [Grants.gov Opportunity](https://www.grants.gov/search-results-detail/362192)",2026-06-12
Artwork Archive,Open-Call Listing,Lets organizations POST a standalone open-call LISTING that links out to your own submission URL — no requirement to run submissions on their platform.,https://www.artworkarchive.com/call-for-entry/new,yes,$25 (Basic listing) / $45 (Featured listing),Instant web form,Go to 'New Call for Entry' → choose the standalone Listing ($25 basic / $45 featured) → enter details and your external submission URL (skip their managed-submission option).,Low,Artists browsing Artwork Archive's Call for Entry discovery feed,US / Global,"open call, exhibition",one-off post,"Verified org-perspective: choose a standalone 'Listing' ($25 basic / $45 featured) that links artists to YOUR external submission page — no submission lock-in. (They also offer managed submissions, which you do NOT need since you have your own platform.) Fast, self-serve.","[Artwork Archive — New Call for Entry](https://www.artworkarchive.com/call-for-entry/new), [Call for Entry Management](https://www.artworkarchive.com/call-for-entry-management)",2026-06-12
ArtConnect,Open-Call Listing,Professional art network where organizations POST open calls; you can direct artists to your own external submission URL.,https://www.artconnect.com/opportunities/new,yes,"$99 per opportunity, or $20/mo unlimited (Premium)",Account required,Create an account → 'Post an Opportunity' → enter your call details and put your external submission URL prominently in the description/links ($99/post or $20/mo unlimited).,Low,Tens of thousands of professional artists worldwide ArtConnect,Global,"open call, exhibition, grant",always-on,"Verified org-perspective: you can list your own call and point artists to your external submission page in the description/links. Their 'Apply' button defaults to an internal flow, so make your external URL prominent. $99/post or $20/mo unlimited.",[ArtConnect for Organizations](https://www.artconnect.com/memberships/organizations),2026-06-12
ArtShow.com,Open-Call Listing,Service that promotes juried art shows and competitions to a global artist audience via paid listings.,https://artshow.com/juriedshows/juriedform.aspx,yes,"$45 (Basic, runs until deadline); +$20 image, +$45 featured, +$50 homepage blurb",Approval/review,"Open the juried-shows submission form → pick listing options (Basic $45) → enter contact info + call details, deadline, and your Website/Prospectus links → Continue to Payment → staff reviews and publishes.",Low,Global artist audience browsing ArtShow.com juried-shows,US / Global,"open call, exhibition",one-off post,No account needed. The form has dedicated Website + Prospectus fields so artists go to YOUR site. Listings are NOT instant (staff post manually) and can't be self-edited after submitting.,"[ArtShow — Submit Form](https://artshow.com/juriedshows/juriedform.aspx), [Pricing](https://artshow.com/infoadv-deadlines.html)",2026-06-18
Call for Entries (C4E),Open-Call Listing,Searchable directory of art/photo competitions and juried exhibitions; organizations buy listings to reach the public.,https://www.callforentries.com/compare.php,yes,"Free tier = members-only (not public); Public: $69/30d or $130/60d (Standard), $169/30d (Featured)",Account required,"Go to the Compare/pricing page → pick a tier (Free / Standard / Featured) → 'Order Now' → create or log into an organization account → fill the form with call details, deadline and your external link → pay (for paid tiers) → publishes.",Low,C4E directory visitors (public listings) / logged-in members (free tier),US / Global,"open call, exhibition",one-off post,Gotcha: the FREE listing is visible only to logged-in C4E members — you need a PAID tier for public visibility. Listings can use an external 'Apply' link to your own submission system.,[C4E — Compare/List](https://www.callforentries.com/compare.php),2026-06-18
